State,Group-A - Male,Group-A - Female,Group-A - Total,Group-B - Male,Group-B - Female,Group-B - Total,Group-C - Male,Group-C - Female,Group-C - Total,Group-D - Male,Group-D - Female,Group-D - Total,Grand Total - Male,Grand Total - Female,Grand Total - Total
Andaman and Nicobar Islands,4,2,6,10,5,15,62,19,81,68,21,89,144,47,191
Andhra Pradesh,13029,5736,18765,12748,5245,17993,18352,7959,26311,13255,8469,21724,57384,27409,84793
Arunachal Pradesh,18,1,19,22,4,26,196,91,287,97,59,156,333,155,488
Assam,353,95,448,386,89,475,2606,882,3488,3944,613,4557,7289,1679,8968
Bihar,781,65,846,1309,198,1507,10716,1469,12185,10861,1066,11927,23667,2798,26465
Chandigarh,358,9,367,1436,32,1468,1149,146,1295,274,55,329,3217,242,3459
Chhatisgarh,686,203,889,977,289,1266,3535,723,4258,2839,572,3411,8037,1787,9824
Dadra and Nagar Haveli,NA,NA,0,3,0,3,10,23,33,4,1,5,17,24,41
Daman and Diu,0,1,1,14,10,24,30,22,52,51,31,82,95,64,159
Delhi,808,414,1222,2141,1115,3256,5816,1897,7713,5036,752,5788,13801,4178,17979
Goa,40,19,59,57,59,116,952,1058,2010,793,536,1329,1842,1672,3514
Gujarat,2981,961,3942,2413,910,3323,10116,2566,12682,7318,1276,8594,22828,5713,28541
Haryana,1379,361,1740,1333,316,1649,5413,2264,7677,4361,910,5271,12486,3851,16337
Himachal Pradesh,484,151,635,708,267,975,2873,636,3509,2975,725,3700,7040,1779,8819
Jammu and Kashmir,662,153,815,218,74,292,1705,686,2391,1805,602,2407,4390,1515,5905
Jharkhand,84,10,94,155,18,173,898,175,1073,849,200,1049,1986,403,2389
Karnataka,6642,3756,10398,7384,4832,12216,24756,12316,37072,18365,8766,27131,57147,29670,86817
Kerala,1925,1547,3472,2596,2096,4692,6509,3907,10416,3080,1877,4957,14110,9427,23537
Lakshadweep,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,0,0,0
Madhya Pradesh,717,237,954,801,215,1016,2995,609,3604,3000,480,3480,7513,1541,9054
Maharashtra,4972,1242,6214,5560,1795,7355,26597,8923,35520,24552,4413,28965,61681,16373,78054
Manipur,68,18,86,228,27,255,649,191,840,869,115,984,1814,351,2165
Meghalaya,65,33,98,136,85,221,333,146,479,287,185,472,821,449,1270
Mizoram,28,15,43,74,70,144,159,127,286,297,79,376,558,291,849
Nagaland,83,43,126,106,65,171,297,167,464,515,193,708,1001,468,1469
Odisha,1677,472,2149,1955,520,2475,5252,1101,6353,4896,1487,6383,13780,3580,17360
Puducherry,182,203,385,450,338,788,1553,869,2422,843,520,1363,3028,1930,4958
Punjab,1538,668,2206,3838,1290,5128,5315,1592,6907,3825,785,4610,14516,4335,18851
Rajasthan,2654,582,3236,2689,437,3126,5272,733,6005,5163,759,5922,15778,2511,18289
Sikkim,6,0,6,101,194,295,166,91,257,378,66,444,651,351,1002
Tamil Nadu,7869,3736,11605,7290,3010,10300,15896,7427,23323,10907,4299,15206,41962,18472,60434
Tripura,108,18,126,38,89,127,1005,444,1449,499,353,852,1650,904,2554
Uttar Pradesh,4552,702,5254,3195,416,3611,14057,2018,16075,14688,1532,16220,36492,4668,41160
Uttrakhand,459,113,572,790,164,954,3426,610,4036,3766,360,4126,8441,1247,9688
West Bengal,2253,473,2726,2357,495,2852,5853,1180,7033,6891,1135,8026,17354,3283,20637
All India,57465,22039,79504,63518,24769,88287,184519,63067,247586,157351,43292,200643,462853,153167,616020
